epoch,accuracy,loss,val_accuracy,val_loss
0,0.37448105216026306,1.329207420349121,0.42939481139183044,1.2669484615325928
1,0.6321616172790527,1.0020254850387573,0.6772334575653076,0.8943962454795837
2,0.7915859222412109,0.5924659967422485,0.7089337110519409,0.7410646677017212
3,0.8452809453010559,0.4163863956928253,0.6916426420211792,0.7744989991188049
4,0.8804317712783813,0.3313073217868805,0.7002881765365601,0.7797443270683289
5,0.9064489603042603,0.26559463143348694,0.6887608170509338,0.8370740413665771
6,0.9280376434326172,0.21959374845027924,0.6974063515663147,0.887296736240387
7,0.9396623373031616,0.18529744446277618,0.6887608170509338,0.9389066100120544
8,0.9515637755393982,0.15223681926727295,0.6858789920806885,1.0129815340042114
9,0.9587600231170654,0.13536246120929718,0.6945244669914246,1.0907690525054932
10,0.9629117250442505,0.1164160892367363,0.6829971075057983,1.1589863300323486
11,0.9678937196731567,0.10853081196546555,0.6829971075057983,1.202523112297058
12,0.9687240719795227,0.10240865498781204,0.6858789920806885,1.2182830572128296
13,0.9725989699363708,0.08994598686695099,0.680115282535553,1.2730433940887451
14,0.9717686176300049,0.09461397677659988,0.6772334575653076,1.3675798177719116
15,0.9731525182723999,0.08113513141870499,0.6916426420211792,1.3388304710388184
16,0.976473867893219,0.07403547316789627,0.6743515729904175,1.4273431301116943
17,0.9748131632804871,0.07442951202392578,0.6829971075057983,1.4168237447738647
18,0.9781345129013062,0.06558243185281754,0.6743515729904175,1.4744887351989746
19,0.976473867893219,0.06908376514911652,0.6714697480201721,1.50106942653656
20,0.9792416095733643,0.06354481726884842,0.6714697480201721,1.5183634757995605
21,0.9773041605949402,0.0623762309551239,0.6743515729904175,1.5662086009979248
22,0.977027416229248,0.05918886885046959,0.6628242135047913,1.5687073469161987
23,0.9795184135437012,0.06177641451358795,0.680115282535553,1.5482503175735474
24,0.9781345129013062,0.05555422976613045,0.6714697480201721,1.6024725437164307
